"Year","Month","Date","MEI","Phase"
1993,"AM",1993-05-01,1.4,"Warm Phase/El Nino"
1994,"AM",1994-05-01,0.17,"Neutral Phase"
1995,"AM",1995-05-01,0.39,"Neutral Phase"
1996,"AM",1996-05-01,-0.93,"Cool Phase/La Nina"
1997,"AM",1997-05-01,1.15,"Warm Phase/El Nino"
1998,"AM",1998-05-01,1.72,"Warm Phase/El Nino"
1999,"AM",1999-05-01,-1.42,"Cool Phase/La Nina"
2000,"AM",2000-05-01,-1.17,"Cool Phase/La Nina"
2001,"AM",2001-05-01,-0.78,"Cool Phase/La Nina"
2002,"AM",2002-05-01,-0.06,"Neutral Phase"
2003,"AM",2003-05-01,-0.51,"Cool Phase/La Nina"
2004,"AM",2004-05-01,-0.38,"Neutral Phase"
2005,"AM",2005-05-01,0.14,"Neutral Phase"
2006,"AM",2006-05-01,-0.3,"Neutral Phase"
2007,"AM",2007-05-01,-0.65,"Cool Phase/La Nina"
2008,"AM",2008-05-01,-0.96,"Cool Phase/La Nina"
2009,"AM",2009-05-01,-0.63,"Cool Phase/La Nina"
2010,"AM",2010-05-01,-0.47,"Neutral Phase"
2011,"AM",2011-05-01,-1.35,"Cool Phase/La Nina"
2012,"AM",2012-05-01,-0.4,"Neutral Phase"
2013,"AM",2013-05-01,-0.87,"Cool Phase/La Nina"
2014,"AM",2014-05-01,-0.26,"Neutral Phase"
2015,"AM",2015-05-01,1.22,"Warm Phase/El Nino"
2016,"AM",2016-05-01,1.15,"Warm Phase/El Nino"
2017,"AM",2017-05-01,-0.1,"Neutral Phase"
2018,"AM",2018-05-01,-0.89,"Cool Phase/La Nina"
2019,"AM",2019-05-01,0.2,"Neutral Phase"
2020,"AM",2020-05-01,-0.36,"Neutral Phase"
2021,"AM",2021-05-01,-1.16,"Cool Phase/La Nina"
2022,"AM",2022-05-01,-1.88,"Cool Phase/La Nina"
2023,"AM",2023-05-01,NA,NA
1979,"MJ",1979-06-01,-0.14,"Neutral Phase"
1980,"MJ",1980-06-01,0.55,"Warm Phase/El Nino"
1981,"MJ",1981-06-01,-0.63,"Cool Phase/La Nina"
1982,"MJ",1982-06-01,1.42,"Warm Phase/El Nino"
1983,"MJ",1983-06-01,1.58,"Warm Phase/El Nino"
1984,"MJ",1984-06-01,-0.75,"Cool Phase/La Nina"
1985,"MJ",1985-06-01,-0.24,"Neutral Phase"
1986,"MJ",1986-06-01,0.61,"Warm Phase/El Nino"
1987,"MJ",1987-06-01,1.78,"Warm Phase/El Nino"
1988,"MJ",1988-06-01,-1.35,"Cool Phase/La Nina"
1989,"MJ",1989-06-01,-1.04,"Cool Phase/La Nina"
1990,"MJ",1990-06-01,0.15,"Neutral Phase"
1991,"MJ",1991-06-01,1.07,"Warm Phase/El Nino"
1992,"MJ",1992-06-01,1.66,"Warm Phase/El Nino"
1993,"MJ",1993-06-01,1.11,"Warm Phase/El Nino"
1994,"MJ",1994-06-01,0.4,"Neutral Phase"
1995,"MJ",1995-06-01,-0.08,"Neutral Phase"
1996,"MJ",1996-06-01,-0.7,"Cool Phase/La Nina"
1997,"MJ",1997-06-01,2.35,"Warm Phase/El Nino"
1998,"MJ",1998-06-01,-0.25,"Neutral Phase"
1999,"MJ",1999-06-01,-1.26,"Cool Phase/La Nina"
2000,"MJ",2000-06-01,-1.12,"Cool Phase/La Nina"
2001,"MJ",2001-06-01,-0.57,"Cool Phase/La Nina"
2002,"MJ",2002-06-01,0.42,"Neutral Phase"
2003,"MJ",2003-06-01,-0.22,"Neutral Phase"
2004,"MJ",2004-06-01,-0.05,"Neutral Phase"
2005,"MJ",2005-06-01,0.14,"Neutral Phase"
2006,"MJ",2006-06-01,-0.06,"Neutral Phase"
2007,"MJ",2007-06-01,-0.98,"Cool Phase/La Nina"
2008,"MJ",2008-06-01,-0.81,"Cool Phase/La Nina"
2009,"MJ",2009-06-01,0.25,"Neutral Phase"
2010,"MJ",2010-06-01,-1.7,"Cool Phase/La Nina"
2011,"MJ",2011-06-01,-1.13,"Cool Phase/La Nina"
2012,"MJ",2012-06-01,-0.14,"Neutral Phase"
2013,"MJ",2013-06-01,-1.11,"Cool Phase/La Nina"
2014,"MJ",2014-06-01,-0.02,"Neutral Phase"
2015,"MJ",2015-06-01,1.74,"Warm Phase/El Nino"
2016,"MJ",2016-06-01,0.16,"Neutral Phase"
2017,"MJ",2017-06-01,-0.57,"Cool Phase/La Nina"
2018,"MJ",2018-06-01,-0.61,"Cool Phase/La Nina"
2019,"MJ",2019-06-01,0.28,"Neutral Phase"
2020,"MJ",2020-06-01,-0.87,"Cool Phase/La Nina"
2021,"MJ",2021-06-01,-1.29,"Cool Phase/La Nina"
2022,"MJ",2022-06-01,-2.07,"Cool Phase/La Nina"
2023,"MJ",2023-06-01,NA,NA
1979,"JJ",1979-07-01,-0.13,"Neutral Phase"
1980,"JJ",1980-07-01,0.52,"Warm Phase/El Nino"
1981,"JJ",1981-07-01,-0.51,"Cool Phase/La Nina"
1982,"JJ",1982-07-01,1.87,"Warm Phase/El Nino"
1983,"JJ",1983-07-01,0.88,"Warm Phase/El Nino"
1984,"JJ",1984-07-01,-0.23,"Neutral Phase"
1985,"JJ",1985-07-01,-0.02,"Neutral Phase"
1986,"JJ",1986-07-01,0.77,"Warm Phase/El Nino"
1987,"JJ",1987-07-01,1.74,"Warm Phase/El Nino"
1988,"JJ",1988-07-01,-1.77,"Cool Phase/La Nina"
1989,"JJ",1989-07-01,-1.11,"Cool Phase/La Nina"
1990,"JJ",1990-07-01,0.27,"Neutral Phase"
1991,"JJ",1991-07-01,0.85,"Warm Phase/El Nino"
1992,"JJ",1992-07-01,0.82,"Warm Phase/El Nino"
1993,"JJ",1993-07-01,0.73,"Warm Phase/El Nino"
1994,"JJ",1994-07-01,0.93,"Warm Phase/El Nino"
1995,"JJ",1995-07-01,-0.27,"Neutral Phase"
1996,"JJ",1996-07-01,-0.59,"Cool Phase/La Nina"
1997,"JJ",1997-07-01,2.07,"Warm Phase/El Nino"
1998,"JJ",1998-07-01,-1.53,"Cool Phase/La Nina"
1999,"JJ",1999-07-01,-1.21,"Cool Phase/La Nina"
2000,"JJ",2000-07-01,-0.55,"Cool Phase/La Nina"
2001,"JJ",2001-07-01,-0.02,"Neutral Phase"
2002,"JJ",2002-07-01,0.39,"Neutral Phase"
2003,"JJ",2003-07-01,-0.07,"Neutral Phase"
2004,"JJ",2004-07-01,0.37,"Neutral Phase"
2005,"JJ",2005-07-01,-0.08,"Neutral Phase"
2006,"JJ",2006-07-01,0.15,"Neutral Phase"
2007,"JJ",2007-07-01,-0.65,"Cool Phase/La Nina"
2008,"JJ",2008-07-01,-0.94,"Cool Phase/La Nina"
2009,"JJ",2009-07-01,0.58,"Warm Phase/El Nino"
2010,"JJ",2010-07-01,-2.45,"Cool Phase/La Nina"
2011,"JJ",2011-07-01,-0.87,"Cool Phase/La Nina"
2012,"JJ",2012-07-01,0.37,"Neutral Phase"
2013,"JJ",2013-07-01,-0.79,"Cool Phase/La Nina"
2014,"JJ",2014-07-01,0.39,"Neutral Phase"
2015,"JJ",2015-07-01,1.66,"Warm Phase/El Nino"
2016,"JJ",2016-07-01,-0.51,"Cool Phase/La Nina"
2017,"JJ",2017-07-01,-0.86,"Cool Phase/La Nina"
2018,"JJ",2018-07-01,-0.34,"Neutral Phase"
2019,"JJ",2019-07-01,0.2,"Neutral Phase"
2020,"JJ",2020-07-01,-0.88,"Cool Phase/La Nina"
2021,"JJ",2021-07-01,-1.53,"Cool Phase/La Nina"
2022,"JJ",2022-07-01,-2.1,"Cool Phase/La Nina"
2023,"JJ",2023-07-01,NA,NA
1979,"JA",1979-08-01,0.5,"Warm Phase/El Nino"
1980,"JA",1980-08-01,0.13,"Neutral Phase"
1981,"JA",1981-08-01,-0.25,"Neutral Phase"
1982,"JA",1982-08-01,1.93,"Warm Phase/El Nino"
1983,"JA",1983-08-01,0.03,"Neutral Phase"
1984,"JA",1984-08-01,-0.02,"Neutral Phase"
1985,"JA",1985-08-01,-0.36,"Neutral Phase"
1986,"JA",1986-08-01,1.24,"Warm Phase/El Nino"
1987,"JA",1987-08-01,1.49,"Warm Phase/El Nino"
1988,"JA",1988-08-01,-1.82,"Cool Phase/La Nina"
1989,"JA",1989-08-01,-0.74,"Cool Phase/La Nina"
1990,"JA",1990-08-01,0.11,"Neutral Phase"
1991,"JA",1991-08-01,0.41,"Neutral Phase"
1992,"JA",1992-08-01,0.13,"Neutral Phase"
1993,"JA",1993-08-01,0.57,"Warm Phase/El Nino"
1994,"JA",1994-08-01,0.86,"Warm Phase/El Nino"
1995,"JA",1995-08-01,-0.59,"Cool Phase/La Nina"
1996,"JA",1996-08-01,-0.5,"Cool Phase/La Nina"
1997,"JA",1997-08-01,2.27,"Warm Phase/El Nino"
1998,"JA",1998-08-01,-1.79,"Cool Phase/La Nina"
1999,"JA",1999-08-01,-1.12,"Cool Phase/La Nina"
2000,"JA",2000-08-01,-0.17,"Neutral Phase"
2001,"JA",2001-08-01,0.23,"Neutral Phase"
2002,"JA",2002-08-01,0.81,"Warm Phase/El Nino"
2003,"JA",2003-08-01,-0.04,"Neutral Phase"
2004,"JA",2004-08-01,0.69,"Warm Phase/El Nino"
2005,"JA",2005-08-01,-0.03,"Neutral Phase"
2006,"JA",2006-08-01,0.57,"Warm Phase/El Nino"
2007,"JA",2007-08-01,-0.9,"Cool Phase/La Nina"
2008,"JA",2008-08-01,-0.99,"Cool Phase/La Nina"
2009,"JA",2009-08-01,0.54,"Warm Phase/El Nino"
2010,"JA",2010-08-01,-2.45,"Cool Phase/La Nina"
2011,"JA",2011-08-01,-0.89,"Cool Phase/La Nina"
2012,"JA",2012-08-01,0.03,"Neutral Phase"
2013,"JA",2013-08-01,-0.46,"Neutral Phase"
2014,"JA",2014-08-01,0.21,"Neutral Phase"
2015,"JA",2015-08-01,1.85,"Warm Phase/El Nino"
2016,"JA",2016-08-01,-0.21,"Neutral Phase"
2017,"JA",2017-08-01,-0.89,"Cool Phase/La Nina"
2018,"JA",2018-08-01,0.13,"Neutral Phase"
2019,"JA",2019-08-01,0.26,"Neutral Phase"
2020,"JA",2020-08-01,-0.94,"Cool Phase/La Nina"
2021,"JA",2021-08-01,-1.35,"Cool Phase/La Nina"
2022,"JA",2022-08-01,-1.79,"Cool Phase/La Nina"
2023,"JA",2023-08-01,NA,NA
1979,"AS",1979-09-01,0.42,"Neutral Phase"
1980,"AS",1980-09-01,0.19,"Neutral Phase"
1981,"AS",1981-09-01,0.03,"Neutral Phase"
1982,"AS",1982-09-01,1.74,"Warm Phase/El Nino"
1983,"AS",1983-09-01,-0.41,"Neutral Phase"
1984,"AS",1984-09-01,-0.06,"Neutral Phase"
1985,"AS",1985-09-01,-0.35,"Neutral Phase"
1986,"AS",1986-09-01,1.38,"Warm Phase/El Nino"
1987,"AS",1987-09-01,1.18,"Warm Phase/El Nino"
1988,"AS",1988-09-01,-1.8,"Cool Phase/La Nina"
1989,"AS",1989-09-01,-0.6,"Cool Phase/La Nina"
1990,"AS",1990-09-01,0.26,"Neutral Phase"
1991,"AS",1991-09-01,0.65,"Warm Phase/El Nino"
1992,"AS",1992-09-01,0.56,"Warm Phase/El Nino"
1993,"AS",1993-09-01,0.63,"Warm Phase/El Nino"
1994,"AS",1994-09-01,1.03,"Warm Phase/El Nino"
1995,"AS",1995-09-01,-0.78,"Cool Phase/La Nina"
1996,"AS",1996-09-01,-0.18,"Neutral Phase"
1997,"AS",1997-09-01,2.16,"Warm Phase/El Nino"
1998,"AS",1998-09-01,-1.39,"Cool Phase/La Nina"
1999,"AS",1999-09-01,-1.16,"Cool Phase/La Nina"
2000,"AS",2000-09-01,-0.34,"Neutral Phase"
2001,"AS",2001-09-01,-0.09,"Neutral Phase"
2002,"AS",2002-09-01,0.74,"Warm Phase/El Nino"
2003,"AS",2003-09-01,0.14,"Neutral Phase"
2004,"AS",2004-09-01,0.51,"Warm Phase/El Nino"
